quarter,region,revenue_target,pipeline_target,churn_target,gross_margin_target
Q1_2025,APAC,400000.0,1200000.0,0.05,0.78
Q1_2025,EMEA,600000.0,1800000.0,0.05,0.78
Q1_2025,North America,800000.0,2500000.0,0.05,0.78
Q1_2025,LATAM,200000.0,600000.0,0.05,0.78
Q2_2025,APAC,440000.0,1320000.0,0.05,0.78
Q2_2025,EMEA,660000.0,1980000.0,0.05,0.78
Q2_2025,North America,880000.0,2750000.0,0.05,0.78
Q2_2025,LATAM,220000.0,660000.0,0.05,0.78
Q3_2025,APAC,480000.0,1440000.0,0.05,0.78
Q3_2025,EMEA,720000.0,2160000.0,0.05,0.78
Q3_2025,North America,960000.0,3000000.0,0.05,0.78
Q3_2025,LATAM,240000.0,720000.0,0.05,0.78
Q4_2025,APAC,520000.0,1560000.0,0.05,0.78
Q4_2025,EMEA,780000.0,2340000.0,0.05,0.78
Q4_2025,North America,1040000.0,3250000.0,0.05,0.78
Q4_2025,LATAM,260000.0,780000.0,0.05,0.78
