ticket_id,customer_id,quarter,region,segment,product,issue_type,severity,escalated,response_time_hours,resolution_time_hours
TKT_0001,CUST_005,Q1_2025,APAC,SMB,InsightOS,Export CSV Failed,Low,False,2.0,15.9
TKT_0002,CUST_005,Q1_2025,APAC,SMB,InsightOS,UI Glitch,Medium,False,3.4,7.4
TKT_0003,CUST_007,Q1_2025,APAC,SMB,FlowOps,v2.0 Migration Memory Leak,Medium,False,2.3,14.0
TKT_0004,CUST_009,Q1_2025,North America,Enterprise,InsightOS,UI Glitch,High,False,0.6,13.0
TKT_0005,CUST_009,Q1_2025,North America,Enterprise,FlowOps,v2.0 Migration Memory Leak,Medium,False,3.7,7.8
TKT_0006,CUST_015,Q1_2025,APAC,Mid-Market,MetricHub,Incorrect Sum Aggregation,Medium,False,3.8,11.7
TKT_0007,CUST_015,Q1_2025,APAC,Mid-Market,MetricHub,Semantic Layer Sync Failed,Low,False,2.3,19.5
TKT_0008,CUST_020,Q1_2025,EMEA,Mid-Market,FlowOps,v2.0 Migration Memory Leak,Medium,False,1.6,21.0
TKT_0009,CUST_033,Q1_2025,APAC,Mid-Market,InsightOS,User Access Management,Low,False,2.4,23.7
TKT_0010,CUST_036,Q1_2025,North America,Mid-Market,FlowOps,API Rate Limit Exceeded,Low,False,2.1,14.0
TKT_0011,CUST_037,Q1_2025,EMEA,SMB,InsightOS,UI Glitch,Medium,False,2.5,22.1
TKT_0012,CUST_038,Q1_2025,APAC,Mid-Market,InsightOS,Dashboard Load Timeout,Low,False,2.8,12.2
TKT_0013,CUST_038,Q1_2025,APAC,Mid-Market,FlowOps,v2.0 Migration Memory Leak,High,False,3.7,10.3
TKT_0014,CUST_039,Q1_2025,North America,Mid-Market,MetricHub,Incorrect Sum Aggregation,Low,False,2.0,20.6
TKT_0015,CUST_042,Q1_2025,EMEA,Enterprise,MetricHub,SQL Generation Error,Low,False,2.0,7.3
TKT_0016,CUST_045,Q1_2025,EMEA,Mid-Market,FlowOps,v2.0 Migration Memory Leak,Medium,False,3.4,15.3
TKT_0017,CUST_050,Q1_2025,APAC,SMB,InsightOS,Dashboard Load Timeout,Low,True,1.8,5.8
TKT_0018,CUST_052,Q1_2025,North America,Mid-Market,InsightOS,Export CSV Failed,Medium,False,3.5,8.5
TKT_0019,CUST_063,Q1_2025,North America,Mid-Market,InsightOS,Export CSV Failed,Medium,False,2.6,9.1
TKT_0020,CUST_067,Q1_2025,APAC,SMB,MetricHub,SQL Generation Error,High,False,1.2,5.7
TKT_0021,CUST_067,Q1_2025,APAC,SMB,MetricHub,Semantic Layer Sync Failed,High,False,1.1,6.8
TKT_0022,CUST_077,Q1_2025,North America,SMB,MetricHub,Incorrect Sum Aggregation,Low,False,3.9,15.2
TKT_0023,CUST_079,Q1_2025,EMEA,Enterprise,FlowOps,v2.0 Migration Memory Leak,Medium,False,2.8,5.5
TKT_0024,CUST_083,Q1_2025,EMEA,SMB,InsightOS,UI Glitch,Low,False,0.9,11.1
TKT_0025,CUST_086,Q1_2025,EMEA,Enterprise,MetricHub,SQL Generation Error,Low,False,3.4,4.8
TKT_0026,CUST_090,Q1_2025,EMEA,Enterprise,FlowOps,Connection Lost to Database,Medium,False,1.3,21.7
TKT_0027,CUST_095,Q1_2025,North America,SMB,MetricHub,SQL Generation Error,Medium,False,3.1,20.5
TKT_0028,CUST_097,Q1_2025,EMEA,Mid-Market,InsightOS,Dashboard Load Timeout,Medium,False,3.7,9.0
TKT_0029,CUST_097,Q1_2025,EMEA,Mid-Market,FlowOps,Connection Lost to Database,Medium,False,1.6,15.5
TKT_0030,CUST_109,Q1_2025,APAC,Enterprise,FlowOps,v2.0 Migration Memory Leak,Low,False,0.6,16.1
TKT_0031,CUST_113,Q1_2025,LATAM,Enterprise,InsightOS,User Access Management,Low,False,2.4,12.3
TKT_0032,CUST_114,Q1_2025,North America,Enterprise,FlowOps,v2.0 Migration Memory Leak,Medium,False,0.8,11.9
TKT_0033,CUST_116,Q1_2025,LATAM,SMB,MetricHub,Semantic Layer Sync Failed,Low,False,3.4,23.0
